202100001, Science, 70
202100002, Science, 85
202100003, Math, 84
202100004, Science, 79
202100005, Math, 84
202100006, Math, 93
202100007, Math, 94
202100008, Math, 94
202100009, Math, 82
202100010, Math, 99
202100011, English, 90
202100012, Math, 84
202100013, Science, 89
202100014, Science, 80
202100015, English, 83
202100014, Math, 78
202100015, Math, 83
202100010, English, 89
202100011, Science, 99
202100012, Science, 99
202100013, Math, 80
202100015, Science, 72
202100012, English, 78
202100014, English, 93
202100005, English, 91
202100006, Science, 81
202100007, Science, 99
202100008, English, 92
202100009, Science, 83
202100007, English, 95
202100008, Science, 95
202100009, English, 75
202100011, Math, 94
202100013, English, 97
202100001, Math, 97
202100003, English, 78
202100004, English, 81
202100010, Science, 72
202100005, Science, 73
202100006, English, 90
202100002, Math, 88
202100003, Science, 99
202100004, Math, 76
202100001, English, 86
202100002, English, 98
